Character,Unicode,Index,Row,Col,X,Y,Width,WidthRatio
À,U+00C0,127,7,15,1920,896,58,0.4531
Á,U+00C1,128,8,0,0,1024,58,0.4531
Â,U+00C2,129,8,1,128,1024,58,0.4531
Ã,U+00C3,130,8,2,256,1024,58,0.4531
Ä,U+00C4,131,8,3,384,1024,58,0.4531
Å,U+00C5,132,8,4,512,1024,58,0.4531
Æ,U+00C6,133,8,5,640,1024,75,0.5859
Ç,U+00C7,134,8,6,768,1024,52,0.4062
È,U+00C8,135,8,7,896,1024,52,0.4062
É,U+00C9,136,8,8,1024,1024,52,0.4062
Ê,U+00CA,137,8,9,1152,1024,52,0.4062
Ë,U+00CB,138,8,10,1280,1024,52,0.4062
Ì,U+00CC,139,8,11,1408,1024,35,0.2734
Í,U+00CD,140,8,12,1536,1024,35,0.2734
Î,U+00CE,141,8,13,1664,1024,37,0.2891
Ï,U+00CF,142,8,14,1792,1024,39,0.3047
Ð,U+00D0,143,8,15,1920,1024,65,0.5078
Ñ,U+00D1,144,9,0,0,1152,64,0.5
Ò,U+00D2,145,9,1,128,1152,64,0.5
Ó,U+00D3,146,9,2,256,1152,64,0.5
Ô,U+00D4,147,9,3,384,1152,64,0.5
Õ,U+00D5,148,9,4,512,1152,64,0.5
Ö,U+00D6,149,9,5,640,1152,64,0.5
×,U+00D7,150,9,6,768,1152,102,0.7969
Ø,U+00D8,151,9,7,896,1152,64,0.5
Ù,U+00D9,152,9,8,1024,1152,64,0.5
Ú,U+00DA,153,9,9,1152,1152,64,0.5
Û,U+00DB,154,9,10,1280,1152,64,0.5
Ü,U+00DC,155,9,11,1408,1152,64,0.5
Ý,U+00DD,156,9,12,1536,1152,52,0.4062
Þ,U+00DE,157,9,13,1664,1152,58,0.4531
ß,U+00DF,158,9,14,1792,1152,52,0.4062
à,U+00E0,159,9,15,1920,1152,53,0.4141
á,U+00E1,160,10,0,0,1280,53,0.4141
â,U+00E2,161,10,1,128,1280,53,0.4141
ã,U+00E3,162,10,2,256,1280,53,0.4141
ä,U+00E4,163,10,3,384,1280,53,0.4141
å,U+00E5,164,10,4,512,1280,53,0.4141
æ,U+00E6,165,10,5,640,1280,71,0.5547
ç,U+00E7,166,10,6,768,1280,39,0.3047
è,U+00E8,167,10,7,896,1280,50,0.3906
é,U+00E9,168,10,8,1024,1280,50,0.3906
ê,U+00EA,169,10,9,1152,1280,50,0.3906
ë,U+00EB,170,10,10,1280,1280,50,0.3906
ì,U+00EC,171,10,11,1408,1280,33,0.2578
í,U+00ED,172,10,12,1536,1280,33,0.2578
î,U+00EE,173,10,13,1664,1280,36,0.2812
ï,U+00EF,174,10,14,1792,1280,38,0.2969
ð,U+00F0,175,10,15,1920,1280,52,0.4062
ñ,U+00F1,176,11,0,0,1408,54,0.4219
ò,U+00F2,177,11,1,128,1408,52,0.4062
ó,U+00F3,178,11,2,256,1408,52,0.4062
ô,U+00F4,179,11,3,384,1408,52,0.4062
õ,U+00F5,180,11,4,512,1408,52,0.4062
ö,U+00F6,181,11,5,640,1408,52,0.4062
÷,U+00F7,182,11,6,768,1408,102,0.7969
ø,U+00F8,183,11,7,896,1408,52,0.4062
ù,U+00F9,184,11,8,1024,1408,54,0.4219
ú,U+00FA,185,11,9,1152,1408,54,0.4219
û,U+00FB,186,11,10,1280,1408,54,0.4219
ü,U+00FC,187,11,11,1408,1408,54,0.4219
ý,U+00FD,188,11,12,1536,1408,46,0.3594
þ,U+00FE,189,11,13,1664,1408,53,0.4141
ÿ,U+00FF,190,11,14,1792,1408,46,0.3594
Œ,U+0152,191,11,15,1920,1408,82,0.6406
œ,U+0153,192,12,0,0,1536,75,0.5859
Š,U+0160,193,12,1,128,1536,52,0.4062
š,U+0161,194,12,2,256,1536,40,0.3125
Ÿ,U+0178,195,12,3,384,1536,52,0.4062
Ž,U+017D,196,12,4,512,1536,52,0.4062
ž,U+017E,197,12,5,640,1536,46,0.3594
